step,train_lm_loss,grad_norm,ce_tokens,input_tokens,vision_tokens,mtp_target_tokens,step_seconds
86,3.1767616748809813,1.8971891403198242,1359,6173,1188,465,0.3668242637068033
87,2.876935303211212,1.9502999782562256,1371,6238,1208,469,0.3257289510220289
88,2.9597716331481934,1.957658290863037,1386,6309,1224,474,0.37523586489260197
89,2.969447898864746,1.9113363027572632,1401,6381,1240,479,0.37958892062306404
90,3.1123609291879752,1.7570067644119263,1420,6456,1248,486,0.41591161862015724
91,2.8187085151672364,1.9240576028823853,1435,6532,1268,491,0.3875531069934368
92,2.8986823161443076,1.8939286470413208,1453,6610,1280,497,0.42699976079165936
93,2.8827890872955324,1.9055298566818237,1468,6677,1292,502,0.36264955438673496
94,2.942390063229729,1.7063883543014526,1485,6747,1304,509,0.3696515318006277
95,2.825024366378784,2.2262487411499023,1500,6815,1316,514,0.3659482393413782
96,2.6230876445770264,1.8474947214126587,1515,6886,1332,519,0.3731888234615326
97,2.8058552742004395,1.8404659032821655,1530,6954,1344,524,0.36393419094383717
98,2.6655657291412354,1.906069278717041,1548,7037,1360,530,0.4367005992680788
99,2.655241823196411,1.9557338953018188,1563,7104,1372,535,0.36437324434518814
100,2.590167236328125,1.8531721830368042,1578,7171,1384,540,0.36179147101938725
101,2.5488858968019485,1.692419409751892,1594,7244,1400,546,0.38342842645943165
102,2.4922574520111085,1.7954652309417725,1609,7316,1416,551,0.3839865121990442
103,2.4402638912200927,1.865875244140625,1624,7383,1428,556,0.38826619647443295
104,2.733893116315206,1.9911309480667114,1642,7449,1428,562,0.40358499623835087
105,2.2946393966674803,1.7887848615646362,1657,7525,1448,567,0.40253908559679985
106,2.377708673477173,1.7456600666046143,1672,7597,1464,572,0.39243896305561066
107,2.5189234241843224,1.6746493577957153,1688,7661,1472,578,0.3977589048445225
108,2.148068833351135,1.7557523250579834,1703,7737,1492,583,0.3749049976468086
109,2.4793045918146768,1.7680290937423706,1721,7811,1500,589,0.4012147802859545
110,1.9444048702716827,1.8202335834503174,1733,7876,1520,593,0.33574274368584156
111,2.4797725081443787,1.5865283012390137,1749,7945,1532,599,0.36948334984481335
112,2.0673641681671144,1.6380178928375244,1764,8016,1548,604,0.40220337733626366
113,2.328353727565092,1.5214908123016357,1781,8090,1564,611,0.36718523502349854
114,2.377009371916453,1.7660578489303589,1799,8160,1568,617,0.3860315680503845
115,2.1823241233825685,1.682660698890686,1814,8228,1580,622,0.3495395015925169
116,2.0885359048843384,1.659422755241394,1832,8311,1596,628,0.42110236175358295
117,2.0588025569915773,1.8345742225646973,1847,8378,1608,633,0.3607542999088764
118,1.998395824432373,1.6410112380981445,1862,8445,1620,638,0.36306908912956715
119,1.7994587659835815,1.4786144495010376,1877,8521,1640,643,0.4075878635048866
120,2.0703300635019937,1.5991836786270142,1895,8599,1652,649,0.458892535418272
121,2.3133908435702324,1.8851524591445923,1911,8664,1660,655,0.3680403232574463
122,1.8232707500457763,1.6512715816497803,1926,8735,1676,660,0.39093838445842266
123,1.889450192451477,1.7364442348480225,1941,8807,1692,665,0.3822520151734352
124,1.8880412578582764,1.5891512632369995,1956,8879,1708,670,0.3804370630532503
125,1.5770471096038818,1.6001425981521606,1968,8944,1728,674,0.3274346385151148
126,2.0171990195910134,1.7431219816207886,1986,9018,1736,680,0.4162983614951372
127,2.008543945848942,1.6608190536499023,2002,9086,1748,686,0.4016826618462801
